id,loan_amnt,funded_amnt,int_rate,grade,sub_grade,home_ownership,verification_status,issue_d,loan_status,addr_state,dti
182554,4000,4000,11.54%,C,C5,RENT,Not Verified,Dec-07,Fully Paid,FL,9.14
182589,8800,8800,9.33%,B,B3,OWN,Not Verified,Dec-07,Fully Paid,NJ,0
182845,25000,25000,9.64%,B,B4,RENT,Not Verified,Dec-07,Fully Paid,IN,9.78
183801,15450,15450,10.91%,C,C3,RENT,Not Verified,Dec-07,Fully Paid,CT,10.86
183936,5800,5800,7.43%,A,A2,RENT,Not Verified,Dec-07,Fully Paid,VA,2.32
184296,25000,25000,9.33%,B,B3,RENT,Not Verified,Dec-07,Charged Off,NY,1.57
184562,10000,10000,9.33%,B,B3,MORTGAGE,Not Verified,Dec-07,Charged Off,FL,19.46
184908,1000,1000,9.64%,B,B4,RENT,Not Verified,Dec-07,Fully Paid,IN,18
185352,6000,6000,9.64%,B,B4,RENT,Not Verified,Dec-07,Fully Paid,MD,2.87
185684,22350,22350,14.07%,E,E3,OWN,Not Verified,Dec-07,Charged Off,NY,3.66
186499,1000,1000,7.12%,A,A1,MORTGAGE,Not Verified,Dec-07,Fully Paid,CA,0.65
186572,12000,12000,9.01%,B,B2,MORTGAGE,Not Verified,Dec-07,Fully Paid,IL,6.64
186652,9000,9000,12.49%,D,D3,RENT,Not Verified,Dec-07,Charged Off,NJ,4.64
186840,20000,20000,14.38%,E,E4,RENT,Not Verified,Dec-07,Fully Paid,NY,16.05
187464,10000,10000,9.64%,B,B4,RENT,Not Verified,Dec-07,Fully Paid,CA,3.6
187671,25000,25000,14.70%,E,E5,RENT,Not Verified,Dec-07,Charged Off,CA,5.79
